tweet,sentiment,length
holy smoke star trek freaking awesome,positive,37
hate fallout keep making jump also low health money ammo food worry get,neutral,71
itunes lost song,neutral,16
gloomy weather sun must tired come play heading victoria garden impulse buy haha,neutral,80
looking forward next week math geography english french exam totalling hour,negative,75
poor get outside sleep garden sun good forget suncream,negative,54
well,negative,4
prob hun,positive,8
dad watching mtv going sims2 minutee,neutral,36
absolutely,neutral,10
matter chickadee,neutral,16
hey mia totally adore music cd,positive,30
shopping cleaning bmfing webcam chatting nephew nothing spesh good bank holiday monday nonetheless,positive,98
need ask something lmao love,positive,28
splinter look painful heroic saving mr pickle,negative,45
sad,negative,3
nice see tweeting sunday 10th may celebrating mother day today nice yer mom,positive,75
decided trans frm relaxed natural hair wish whole head looked like root age instant gratification,positive,97
namaskar namaste r marathi people say namaskar marathi word naah,neutral,64
congrats cuss like matter minute know reward,neutral,44
humous dorito oh yes,neutral,20
missed awesome weather movie,negative,28
today going normal day hope group pilot large airline come last night much drink,neutral,80
kid terrible good evans call childline,negative,38
unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one day,negative,90
sad actually google term suck tho,negative,33
hate fighting,negative,13
watched didnt want win put good fight lol,neutral,41
carwarmed sprite taste like sore throat,negative,39
came 11th cross country beat dumbo,neutral,34
candle wax enjoyable,positive,20
unassuming unpretentious suppose endearing relate,positive,49
tomorrow valeria lunch going get hair done im arraving late got cousin babtizm whatever spell,neutral,93
god morning tweet week three workout mention got new glass yesterday,positive,68
hate computer much,negative,18
fine going big walk today mile,positive,30
want red cruiser like one lmfao,negative,31
mm morning,neutral,10
neither,neutral,7
hour work sunday boo find time two hour lunchbreak though yeah,neutral,62
bugger forgot still washing machine,negative,35
laurie sending love blessing healing thought family peace,positive,57
back hurt really bad,negative,20
ah yes know feeling,neutral,19
night cooker dad,neutral,16
modem offline week god bless 3g network tim left may schedule brutal,negative,68
nope coquitlam,neutral,14
parent teacher thing yesterday boring going skl saturday lol,negative,60
lichfield tweetup sound like fun hope see everyone else,positive,55
big booming thunder storm almost maybe go home early ah probably,neutral,64
bevvies 2day twn great day,positive,26
first night myers wout lydia actually excited summer,positive,52
good morning,positive,12
best show ever,positive,14
url previous post timer job removed space messed url e,negative,54
think iv hurt tooth eilish cassie drawing competiton draw cooky pineapple haha l,neutral,80
want know audition mander text reply please,neutral,43
even secret namerebecca please,negative,30
miss neice wait see bad n grown lol,negative,35
need get computer fixed,neutral,23
really hope car illness terminal,negative,32
cool people want find following today english guess english tweet,neutral,65
sir woulda put honey,neutral,20
watched xmen origin wolverine totally loved haha,positive,48
voted personal myspace keep talking fake helped thru hrdest time life x,positive,71
sad missed guy last night,negative,25
finally got call marriage counseling day late,neutral,45
ok,neutral,2
baby,neutral,4
today last day high school ended going home sick stupid dead rat,negative,64
impromptu pool party except know swim get,neutral,41
lost tooth 2day whilst eating gum oww,negative,37
happy year,positive,10
oh hella forgot say official good morning like hear go god morrning twitterville lol,positive,84
phew make note case anyone else run issue,neutral,41
vote every day,negative,14
starving diet killing eat 8pm,negative,29
talk,neutral,4
im soo bored im deffo missing music channel,negative,43
nite nite bday girl fun concert,positive,31
nicotine replacement patch hour far good sleep hour getting bit twitchy,neutral,71
sanderson twatter lately either get reply turn,neutral,46
sleeping lost voice couple day ago,negative,34
hate parked car get hit,negative,23
heard fall waiting,neutral,18
nightmare huggles,neutral,17
creeper feel disappointed cyberstalking skill internet privacy,negative,62
going bed late headache,negative,23
happy mother day mom,positive,20
grabbing coffee making mom breakfast,neutral,36
im thinking im going fun tonight maybe change coming,positive,52
thanks major chop,neutral,17
haha know cant handle fame thank,positive,32
got updated ipod,neutral,16
yes sober hahaha tanghaling tapat dude haha wild kno plan plan go u,positive,67
never miss icarly son huge crush miranda,positive,40
saw james carville store today head really bald,neutral,47
yellow,neutral,6
mean going come back vancouver way hahah,neutral,40
feeling smooth like chrome,positive,26
ew traffic,negative,10
downloading song trying sneak lil homework main priority song lol,neutral,65
alone need coffee,neutral,17
sound like,neutral,10
bad day day realize mess put one happiest day life,neutral,50
walking class hate bike especially mine,negative,39
nesmith,neutral,7
failed inspection know pas wooven woantitip bracket sold woven worse tax,negative,72
jonas brother live party rocking hard love song,positive,47
happy mother day mother world,positive,29
35mins 1hr 20mins google wave demo look lot fun would love test though,positive,70
sleepy tabz heading bed fun night listened next episode joss,positive,60
exception short dude larenz fineass tate yum,neutral,44
screw review thought wolverine awesome enough dominic monaghan liking,positive,69
followed u recently please dont offended followed back hit limit hopefully free soon,positive,84
yes work,neutral,8
hm maybe meant eluded something brand new know medium,neutral,53
done spa meeting vic late lunch,neutral,31
happy monday going tavares today hope everyone blessed day,positive,58
always wanted go oz,neutral,19
thx,neutral,3
cool luv,positive,8
need represent blackberry,positive,25
okay dedicating 300th tweet fact going apple store huge crack glass screen,neutral,74
could ever actually allowed stay,neutral,32
let know turn,neutral,13
sas detect long back sas haha,neutral,29
yeah thinking ahaha,positive,19
sport bar shatranjanpoli rest ph sport bar andheri w dont know whether help google ki jai ho,neutral,92
sleeping accepts appology,negative,25
wolverine bos seriously william,negative,31
live pain bring,neutral,15
okay back later,neutral,15
powerblog powerblog challenge keep talking newbie follower,neutral,58
almost died laptop screen set brightness reinstalled window vista got headache insanedefaults,positive,93
waiting tish get got drive mom crv pick duckie first time,neutral,57
trying decide movie friend going well lol p bible study 2nite mean day cake buy,negative,79
going shower want smell school tomorrow,neutral,39
sigh know,neutral,9
discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,positive,87
free twitter tool get follower,neutral,30
got home work chugging big bottle apple juice,neutral,45
yes please dont go die cry normally lead small animal getting harmed,negative,68
writing report card soo tired amazing day check fb soon,positive,55
big brother done,neutral,16
good news finally finished easactive workout paused hour bad news resistance band torn,neutral,86
well good morning wonderful day neighborhood thanks following another morning,positive,77
ftsk mercy mercedes amazing tonight always,positive,42
hope ok,positive,7
school done already hurt much seeing every day,positive,46
waited listening wind blowing tumbleweed none old enough know someone say crackerack,neutral,84
hell yeah,neutral,9
shirt dinner need ask actually ville,neutral,36
know,neutral,4
huh smelly noo love alex vixon,neutral,30
went party last night dindin showed matching outfit great mind think alike anyway happy birthday ate lara,positive,105
happy bday woke side earth wish bit late,positive,40
thank teaching value better person day love much best mum world,positive,63
happy mother day,positive,16
laugh glad self confidence wonderful trait applaud extra loud okay,positive,66
thanks,positive,6
twittering day,neutral,14
getting ready week nice today stuck inside working,positive,50
tres depressed,negative,14
felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw still feel sick,negative,107
happy mother day people love mom lot still,positive,42
sorry hear,negative,10
awesome dude yay surprise celebrity got meet year ago soo friendly,positive,66
make happy hear girl talk tweet nba could give nugget love,positive,58
getting hang twitter,neutral,20
know neck jacked forced pay parking bc turn head parallel park free space,negative,73
want back,neutral,9
going miss roomie longer roomy starting tomorrow,negative,48
bathing two little angel keyla janice,neutral,37
yep finished chocked full spelling grammatical error cleaning tomorrow popping hehe,negative,83
hahahha lol true always remember bd never remember date even day,neutral,64
family hanging,neutral,14
watching ellen love dish tanning gorgeous,positive,41
goin hun worried,negative,16
im bannished work till,negative,22
morning get see let know right going go see wolverine,neutral,53
red top tabloid build em knock em,neutral,33
tonight party w girl minus vita,positive,31
made sad thought jumping joy,neutral,28
simple,neutral,6
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,neutral,77
saw play amazing,positive,16
glad break twitter virginity two,positive,32
dinner fam missed,negative,17
live want better bound bad egg though soon learn,neutral,48
hell yeah kellynn got twitter finally,neutral,37
know worth shot though,positive,22
opened facebook account little confused really get twitter seems much better,positive,76
ship stuck,negative,10
dustbin baby wait x,positive,19
going dwell happened passed shame supportive life x,negative,51
look like office tv get mlb network look like mlbn televising detbal game today wieters,neutral,87
home empty handed comic found today shall indulge cupcake magnolia bakery,neutral,73
laying bed til work oh life definitely pinched nerve,negative,52
today busy day exhausting,negative,25
going go sunday got much going weekend,neutral,38
sorry hear ur flight got cancelled blow,negative,39
ohh tooth hurt ohh im sad hurt,negative,30
get distracted like thank new follower taking trouble follow others feelin love,positive,79
think bill ha ii finished paying mine broke,negative,43
sure say big jst saw pic ur last bday looked pretty miss,neutral,56
sore throat planning tet outing marwell though good time,neutral,56
mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu,positive,79
day without sleep migraine thought life postr01 meant relaxing,negative,62
suck,negative,4
whens sway sway winner announced,neutral,32
k check,neutral,7
pretty well wide awake,positive,22
want wake early get coffee tomorrow today going busyy day keep writing bo whoo,neutral,78
miss daddy mommy,negative,16
dog officially depressed brother dog gone want go outside play halfheartedly,negative,76
realized forward text msg iphone,neutral,32
frist post find new car parent exciting,positive,39
argh noo missed killer wossy suck missed brandon total failure anyone know repeated must investigate,negative,100
seriously bored without anyone talk tired enough sleep,negative,54
lost please help find good home,negative,31
peter gordon morning go piece wan na hide go piece almost die ever,neutral,66
ok got bit bad back lifting drum hardware car downer,negative,52
lmao smh one threw,neutral,18
oh nice going,positive,13
getting ready work working weekend,neutral,34
gon na celebrate mother day family gon na start partying tonite,positive,63
agree,positive,5
computer hopeless everything else,negative,33
degree gross sky thunderstorm perfect match mood lol,positive,52
2nd aww thanks,positive,14
sorry rb ps3,negative,12
saw amazing hel big,neutral,19
stuck finger throat bunch bump tongue throat,negative,44
dang last url went,negative,18
ohoh missed ur tweet im gon na stay awake night see announcement time difference,negative,80
damnit suck one one thought drag back lol,negative,41
bos moving nyc,neutral,14
crazy fever,negative,11
spending saturday morning taking note research essay stupid recalled book using fair,negative,84
think need new friend,neutral,21
looking forward gig ireland see ya,neutral,34
please review sunehre ad placement,positive,34
aww loove,positive,9
hungry twitter want food,neutral,24
awesome lucky,positive,13
yea know tell everything p send direct message telling haha,neutral,59
haha im jewish love one,positive,23
great time beer garden wit boyos think sun got bit though feel bit ill,neutral,70
l day matt fun weekend,negative,22
really think maybe ur right lol btw phone using think told b4 might app,neutral,71
feel pain mine way,negative,18
come home two day,neutral,17
sadly come one,negative,14
cant wait see boy tomorrow,positive,26
eh check dentist app next week though getting molar pulledroot canal,neutral,68
aww miss driving elmwood,negative,24
omg wango tango awsome love baby taking,positive,39
version live interactive transsiberian ticket planner launched cool,positive,67
really wish could go,positive,20
yeah real hard know get smile,neutral,29
december good next big birthday fly sure,negative,40
made night way funny,positive,20
woo cavs happy mother day,positive,25
make face get home mom watching soap,neutral,36
go work,neutral,7
believe went got boba without,neutral,29
today,neutral,5
thanks warm welcome make plan arrival time air,positive,46
day counting,neutral,12
sorry friend swamped deadline right family visiting boot charade,negative,64
brainfreeze,neutral,11
discovered shortcoming gravity use twitpic integrated subtract pic url character limit,neutral,86
sunburn peeling,negative,15
perky purple nail polish perky chipped,neutral,38
put camera smoker pit longer vandalize door without caught,neutral,58
laying alone since mook soo comfy f n play pen thought ill first one cuddle,negative,75
hate dentist,negative,12
nothing aimed joining sorry,negative,27
taking twitter break cell dying,negative,31
qood morninq,neutral,12
writing english original writing story listening little respect erasure aah,neutral,75
need follower,neutral,13
wish could get nail done stupid job,negative,35
little wormy labyrinth sadly passed away today ok he still around happy ghost form aww,neutral,86
pant idea could new attempt worldwide attract business back airline,neutral,67
good one,positive,8
yep infact popular miss india talented film actress lot,positive,55
dosen want go work tomorrow,negative,27
daniel dsds voice great,positive,23
wish birthday massacre would come australia think said thinking tho,neutral,67
hoping go red lobster weekend,neutral,29
xatl mean jack barakat wow ever gone house hehe mean ur ssoo lucky address,positive,74
sure hope becomes afternoon,positive,27
mean famous congrats,positive,20
phone passed away yesterday jumped table searching new phone,negative,60
fantastic friend including several one met thanks life amazing people,positive,69
tamlyn wish cool sock draw,positive,26
rice crusty bread chili aaw,neutral,27
like mind evening dear,neutral,22
come save packing please,neutral,24
yes love tea make typically english,positive,35
mouth sure,positive,10
dec0de finally hour history pm went highschool make homework friend,neutral,67
pancake lemon sugar thanks,positive,26
si bueno guess entertain,negative,24
hunrgy right heel kill hardly walk,negative,34
electronic key stopped working keyhole cant get car much technology,negative,67
yay three follower good know one person big wide world like fishies,positive,67
name tony hey poor tony,negative,23
goodmorning,positive,11
took shift tomorrow really feel like working right,negative,50
love mine happy mother day mom john taylor much love,positive,52
saw black snake garden went back picture gone,neutral,45
bought ludi rug dog best,positive,24
waterfront anymore faccia luna clarendon,negative,40
love mum much happy mother day wonderful mother,positive,47
slipped caught flu feeling like poop,negative,36
urge play wow wait week til im dad 547days til mcfly im excited l,positive,65
ok passenger one alive dead know til end cry,negative,44
discovered sharing g reader even know sigh g reader newb,neutral,56
chilled tonite spew venom write funny seems like style,neutral,54
please pray lord know need,neutral,26
aw want live usa,neutral,16
morning tweeple,positive,15
hey get,neutral,7
hour sleep rest need,positive,20
make day much better rough one mention love new photo,neutral,53
want sit home prom night someone hang,negative,37
heading home foot surgery wishing boyfriend come cuddle,positive,55
concert tonight chackin coming tomorrow,neutral,39
happened thought coming back today,neutral,34
lol dammit well next time,negative,25
lol ever forget,positive,15
still jealous,negative,13
forever ethan,negative,13
im sad im giving first didnt nothing,negative,36
week mine easy finally,negative,22
wow beautiful picture way straight wanted let know bella,positive,56
arch drawing checking mvcc cad degree look good,positive,47
people pencil sharp sharpened pencil philosophy,neutral,47
go home usually mr positive one daze well min tomorrow,neutral,54
always lee let go paris,neutral,23
know want come keep company whilst mum friend night nice evening,positive,64
cooking dad lot fun kitchen together,positive,36
bouncing rush make feel nauseous,negative,32
woolsery morning hopefully see north molton u16 clinch north devon league title lovely day,positive,90
playing singstar without fave duetter,negative,37
missing bb cereal nut think like every kind available,positive,53
weird oh drawing,negative,16
woke mum singing new gn r cd replacement bought im good daughter,positive,64
bird oh man cool sleep yet night,negative,32
mile go thats ok u2 radio alwas help,positive,36
street fighter iv skill lacking beat seth easy,negative,46
fil cool people like,positive,20
good morning work espn sunday night baseball hopefully get rained,positive,65
think honeymoon good life either honey moon joseph arthur,neutral,57
son got stung bug first time little finger slightly swollen,negative,59
hour ago came realised went buy something online,neutral,48
oh referring lil exchange lj regard twitter archive posting,neutral,59
bumping dj opus drunk car lmao act like know,negative,44
kiss foot people kick anything want morning everyone hope best day ever,positive,71
brief preview omg james creepy role scared,negative,42
missing crab leg attending going away instead,negative,45
hick mean,negative,9
gettn ready take trip jersey dad good need new heartwhoeva see please say prayer dad,negative,84
back soon need run shop cut grass,neutral,33
plan transform bedroom today random,neutral,35
home tomorrow running spinning time chiropractor laundry shopping visiting family missing nathan,negative,96
thats another sponsor,neutral,21
u going stuck office without window,negative,35
sad make proud,negative,14
sorry try keep,negative,14
home alone hw,neutral,13
according quarter family six live poverty,negative,41
plan spend money going well,negative,27
uploading bamboozle picture facebook,neutral,36
congratulation guy finish month early bo,positive,40
actually wish back tahoe miss,negative,29
woke wan na stay bed,neutral,20
bday june wack ihavent seen promotion bday party someone better finagle asap,negative,76
would great vip act enjoy seeing noo,neutral,36
marie wish could make hate commute sometimes,neutral,44
workin long day today hopefully make good tip,positive,45
went quick chance lol,negative,21
hate headache maybe ready rock,negative,30
thanks support,positive,14
really android twitter app tweetie calibre,neutral,42
good day driving mountain visiting katie eating chip fudge stocking lovely smelling soap,positive,88
nyappy mother day mom,positive,21
yeah im gon na take ur picture ipod baby,neutral,40
traumatizing moment childhood dog massacred baby bunny brother got bb gun,negative,73
lol wish way microsize everything lol,neutral,37
organization itil forget people fail preaching converted people,negative,63
libertine um glad enjoyed,positive,25
dinner evening playing card already packed ready head home tomorrow go home,neutral,75
im allergic cat tonsil get swollen hurt,negative,39
say feel mama tucking night lonely getting tomorrow tough,negative,57
miss alot one day,negative,17
sound like great night glad successful,positive,38
thanks sharing,positive,14
say mlia instead fml hope find soon,positive,35
garden going well almost corn pea onion beet yet though,positive,55
nah jkin hot bored,neutral,18
ah sqeaky clean fresh even though wearing dirty clothes love two half men amazing,positive,81
yes read many time,neutral,18
cuz play grown twitter,neutral,22
living ignorance,negative,16
nope telling want cameo cream,neutral,29
aww gon na miss,negative,15
quite like worthing relaxing place nice coffee shop fresh air many oiks,positive,71
terrible haha new fact cost part kind spock,neutral,43
today lovely day fun evening,positive,28
beto pizzeria banksville rd believe beachview area sorry answer like year later,negative,79
sigh sister bein strange came way copenhagen london phone turned wan na see dammit,negative,82
amazing,positive,7
barb trying figure dsl aint connecting need google going home computer start working soon smh,neutral,93
sick sad missing martini lounge tonight,negative,39
seems really quiet tonight jealous clearly exciting life bed think,neutral,66
really wish spare cash buy new punch wii,negative,40
aw going toronto anymore,negative,24
sorry hear mom really suck,negative,26
feel hope smooth flight safe mucho amor boston,positive,46
sleep watching hgtv afraid infomercial take,negative,43
getting family ready kaylee graduation gon na make sad,negative,54
sweet dream,positive,11
hay wats ur aim chat,neutral,20
okay kool might touring summer long make happen,neutral,47
pain big toe got stomped hokey cokeu throbbing anyone suggestion heal,negative,69
time watch op dead like sleep,neutral,29
dinner grandma since mum,neutral,24
haha thanks history invention television influence america lol,positive,62
yea wassup,neutral,10
stupid job idk,negative,14
shopped til dropped come bac sunshine miss,negative,42
like pic lucky girl,positive,19
thank anxiety issue year think make first couple day fine,neutral,57
around hour left day weekend waay much work,neutral,43
feeling loved mom got nikon cool pix birthday,positive,45
attempt somehow extend inner class would close closure find ref atm,neutral,67
yes join u require cupcake donation,neutral,35
hard time talking new people pretty sure make good impression,negative,61
rc234 haha yup still terrible headache super swollen puffy eye dont think im going todayugh,negative,91
access site,neutral,11
sun shinning last,positive,17
slowest train ever stop everywhere missed quick train minute,negative,60
nup cd either whole bunch zero one free,neutral,39
graduation day feel like failure,neutral,32
ops lol wasnt supposed got twitter,neutral,34
think ever tierd lifeugh goodnightso sleeping tomorrow,negative,54
going today girl,neutral,16
doesnt want anymore,negative,19
bad hair day,negative,12
headache,negative,8
sorry guy sign sorry every1,negative,27
okayokay like rest sane population world hate monday,neutral,52
mozart requiem,neutral,14
think bit love creation wit physically attracted although great style,neutral,69
amichael hey thanks another great day going sleep chat tomorrow sweet dream,positive,75
bet cool sr huh stopped sweating since noon dad packing,negative,55
ohshnaps pissed blair usual hahah yeah bake cooky,neutral,49
bueno hollykins need feel better asap p miss done uni soon soproudofyou,neutral,71
cool mother awesome hair style wish happy mother day,positive,52
happy mother day mother,positive,23
expression watching,neutral,19
stupid bipolar weather ruined day,negative,33
want tell think body odour,negative,26
nice beta easports still news online madden,neutral,43
thats pretty bad quality probably worst pic posted till date,negative,60
missed call,negative,11
unfortunately u look like funny people twitter move fb start flitter,negative,68
came back karaoke eating dinner emily much fun,positive,46
discrimination bad thing learned say child would say mastered year ago,positive,70
sure talk fabulous part though sorry dear,neutral,41
see sec clip new moon trailer etonlinecom check big tease though,negative,64
got back working feeling pretty good work,positive,41
ah satz blend save,neutral,18
matter bet would great love right go,positive,36
dh finished making giant trio candy bar thank heaven work mate treat tomorrow,positive,77
ear popping,neutral,11
working diffusing irritation traffic sure helping mother f always real bad day th help plan stuff,negative,97
submitted resume day saw answer back oh well,negative,44
catching week lost grey house quiet,neutral,35
love ryans housewife make smile,positive,31
kinda sick n tired b guy dish,negative,29
boo hoping fake alien story tinfoil covered beachball photo,negative,59
hey phill wazzup,neutral,16
missed westcott micro apollo,negative,28
great buy lunch get pay cut next month,positive,38
finally gone beach yeaah,positive,24
ranjan ever mention nice awesome dude,positive,37
last weekday nothing school start next week,neutral,43
hello gorgeous girl nice new pic today,positive,38
ok duet hysterical lol,positive,22
ok turn twitter device update get new battery phone go fully charged dead hour,neutral,78
michelle hot mama chichi grande,neutral,31
either way always tend make followfriday list sweetie rock much,positive,63
one know like boiled peanut,neutral,27
watched 100th episode numb3rs loved throwback first episode using sprinkler theory,positive,82
sleepy feeling weather ugh tonsil need company somebody talk,negative,60
please get cell phone better camera picture real bad quality compared miley took,neutral,80
ichigo tried carry aswell bless suppose maybe kid,positive,49
booziest weekend long time good fun though,positive,42
counting hour lost sunshine weekend,negative,35
planning trying call doctor though going well mostly planning,negative,61
horay hooked already,neutral,20
ok good day,positive,11
agree everybody would excited go ohh m screw,neutral,44
edge left contributor list month issue x ffs werd,neutral,49
growl yummy time coming soon huh oh yeah hunting combo tshirt think find one,neutral,76
im back zindex problem,negative,22
anyone bored work,negative,17
hating life moment many no delicate little mind take,negative,52
check started new tee limited edition different way check facebook group,neutral,72
husband girl,neutral,12
thinking vega good idea place see,neutral,33
first day summer suck overcast cold summer,negative,42
hi one kiwi artist another kiwi artist,neutral,38
say happy mother day mom,positive,24
oo ok havent accepted friend request,neutral,36
sorry tweet bgt poor wonderful crazy weird greg fair silly little girl never going cope urgh fair,negative,97
michele thanks following love good cause,positive,40
available area would,negative,20
friday hour free tomorrow oh well,neutral,33
meeting time im trying win something prize friday,neutral,49
waiting cramp,negative,13
philosophy final today thank day,positive,32
plan go followed ok,neutral,19
let guess skipped sport bought new pinkish outfit,neutral,49
rain please come,neutral,16
pleasure,neutral,8
1st presentation senior board fml,negative,33
lol know funny ahaha,positive,20
wide awake grouchy,negative,18
thought thing get worse get even worse tonight bet life misery,negative,62
app,neutral,3
lol hi emmy latin would help study aptitude test get grad school thats wan na take,positive,82
supper tonight kurumi minute,neutral,28
kap think cute every night okay,positive,31
happy skool let today last day yippee rip jackson tyler morris always loved never forgotten,positive,91
hi mariah,neutral,9
yours13 home cat right,neutral,22
wheres music mann inbox still empty,negative,35
atm oh yeah apple juice rebel,negative,29
sorry still sick know know guess pelzer present,negative,47
nice one,positive,8
exam today going get license renewed birthday getting closer,neutral,60
got ta get creative mother day gift gon na win love,positive,51
think gon na rain,neutral,17
aah well friend wondering great weather good,positive,44
yrbook signing w evryone fun gna miss evrything,neutral,47
lost artistic ability,negative,21
close enough could run get one,neutral,30
stone cold crazy,negative,16
totally austin power withdrawl symptons darrius withdrawl symptom mommy minne withdrawl syamptoms,neutral,97
xo pretty took like hour ur,positive,27
senior last day,neutral,15
crisis forgot fringe comb men one help,negative,38
already got ticket thanks making sure though,positive,44
thanks new follower,positive,19
getting closer rather real lobby date chicago blogher09 squee,neutral,61
lost vocie adele laughing lol still wondering college week,neutral,58
killboy oh sorry getting reply nothing yes know nirvana,negative,55
busy working new kit couple interview done yea weekend pray uncle still young massive stroke,positive,92
get bitten rabies infested person last night yay gon na scare rachel quarantine tonight shall fun,neutral,97
roo cry omg wanted slap singing fine nowhere booho,negative,50
watching simpson,neutral,16
good morning court crossfit bible study someone special house,positive,61
great time london,positive,17
work soon way soon,neutral,18
phaket anneliese want,neutral,21
emergency room cousin got mad flu walk breathe hospital always cold,negative,67
thanks greeting,positive,15
hungry wife bodyshop party bringing takeaway home much longer party go,neutral,70
pretty baby,positive,11
invite house instead,neutral,20
bit ben thaied,neutral,14
stackeoverflow,neutral,14
jungle book cute nothing eat drink,positive,34
dead stopped express lane would happen choose take way ugh hopefully get moving,neutral,79
okeefe yay twitter secret celeb crush much info,neutral,47
ah ok thank youu,positive,16
twitter fail life sometimes oh well,negative,35
phone call yet minute pluck courage wish phone would ring,positive,57
point gear question posted cant get rest dreadweave set,neutral,55
remind much omaha girl use date guess jean calvin klein wore,neutral,60
