tweet,length
@elonmusk @MarioNawfal Probably paid to do it.,46
@elonmusk @MarioNawfal 😂😭,25
@elonmusk @MarioNawfal 😔this makes me very sad…this is horrifying…,66
@elonmusk @MarioNawfal Probably funded by German legacy autos &amp; oil &amp; gas industry behind the scenes,108
@elonmusk @MarioNawfal 🤦‍♀️,27
@elonmusk @MarioNawfal Glad to be german! 🤦‍♂️😒\nSo many things go wrong here.\n\nTrue clownfiesta.,99
@elonmusk @MarioNawfal https://t.co/pb68R8dtGB,46
@elonmusk @rohanspatel @MarioNawfal can v12 release be expanded to next batch please?,85
@elonmusk @MarioNawfal Paid activists.,38
@elonmusk @MarioNawfal It's probably paid to do it.,51
@elonmusk @MarioNawfal We should look at the overall CO2 emissions from the time a car is manufactured.,103
@elonmusk @MarioNawfal I say puppets is correct.,48
@elonmusk @MarioNawfal burning gasoline/ fumes from it causes all kinds of issues.,82
@elonmusk @MarioNawfal That’s too bad \nDoesn’t make sense😞,59
@elonmusk @rohanspatel @MarioNawfal $TSLA https://t.co/z57mgf3vgE,65
@elonmusk @MarioNawfal 💯,24
@elonmusk @MarioNawfal This is just serious personal beef,57
@elonmusk @MarioNawfal Elon putting the hit out on gas powered,62
"@elonmusk @MarioNawfal Yup, extremely",37
@elonmusk @MarioNawfal Its like defacing artwork just a bad way of protesting.,78
"@elonmusk @MarioNawfal It has certainly become easy to recruit such people in Germany.\n\nFirst the normal backlash against competition, then really weird media discussions around water usage, and then @elonmusk went full 'let russia do what it wants ukraine should just bend over'.",282
@elonmusk @MarioNawfal Should have gone for czechia instead,59
"@elonmusk @MarioNawfal Follow the money, probably funded by german auto manufactures.",85
@elonmusk @MarioNawfal Socialism is on the rise in Germany and they fight everything no matter what. https://t.co/RGQd1k4rwV,124
@elonmusk @MarioNawfal Sounds like they are inspired by the vitriol from @MediaMattersPR and @AngeloCarusone1,109
@elonmusk @MarioNawfal Your Tesla supporters from Grünheide are actively trying to resolve this conflict. There are quite a few of them and they have good suggestions. Let's continue to work for an exciting future in Grünheide.,227
"@elonmusk @MarioNawfal Are there laws or laws enforced anymore for crimes? Or, that doesn’t matter anymore?",107
@elonmusk @MarioNawfal Same concept as the brilliant roadway human bollard climate pirates.,91
@elonmusk @MarioNawfal Why would anyone do something like that ‼️⁉️,67
@elonmusk @MarioNawfal Germany is really likeable 🤷🏽‍♂️,55
@elonmusk @MarioNawfal 👍,24
@elonmusk @MarioNawfal Make it make sense !!!,45
"eh dude feet on the grounda lot of people aint fans in california. it depends on the area, my town of like 3,500 people has a lot of teslas maybe 1/6 vehicles but if i go to 2/3 surrounding towns thhat number drops to maybe 1 in 50 and im not even trying to troll here.. a lot of people blame teslas for our ongoing energy chrisis (they shut down the san onofre boobies which didnt help) and high cost of electricity.. i know kinda sensless? i live in rural north county san diego. a lot of people also blame tesla for accelerating this green trend.. ill be at work and people will be blaming elon musk because 2 stroke weed wackers are becoming illegal. mostly though people blame you for the phasing out of older gas vehicles in california i dont know why  but you definitely accelerated that timeline. also a few of my friends are truckers and they are not a fan. then there are the environmentalists. maybe if you showed more footage of your mines and how your batteries are sustainably sourced and recyclable people would have less stones to throw.. oh also people in europe are getting tired of the surveillance state and everyone is pretty sure once we are all in electric vehicles tey will be able to limit our freedumb more especially if something like a social credit score is ever adopted. sometimes the road is plaid with good intentions<3",1351
@elonmusk @MarioNawfal Glad the outage presumably affected those who vote in referenda on factory expansions.,109
@elonmusk @MarioNawfal 🤗,24
@elonmusk @MarioNawfal Welcome to the best germany ever.,56
@elonmusk @MarioNawfal Can you look into putting Solar on the factory roof and Megapacks on site?  Probably paid by hedge funds who are short Tesla so they can get out of their position.,186
@elonmusk @MarioNawfal Invite the a few of them for a personal talk and tour and educate them. Maybe you’ll change their minds?,127
@elonmusk @MarioNawfal To think of what just 1 match could do! https://t.co/Uo5qEyUKEi,86
@elonmusk @MarioNawfal These environment groups can very much be funded and infiltrated by oil money https://t.co/Qbh2tDjIVg,124
@elonmusk @MarioNawfal It’s appears that it’s not who you think it is.,70
"@elonmusk @MarioNawfal Both if I had to guess. You can't find a single logical argument for stopping an environmental movement through production of sound environmental products, thus you can't find a logical or sound individual or group that would stop it.",257
"They don’t sound like environmentally friendly people. \n\nThat form of activism does not offer any education on ecosystem services, biodiversity and sustainability.   \n\nIt is a nuisance.  \n\nDeters away from the science and those who present data, and facts, and mitigation towards research & development.",309
@elonmusk @MarioNawfal eco revenge via explosives say like using a one spoon as a turbine alternative in a  hydropower plant,124
@elonmusk @alex_avoigt @MarioNawfal Come to Italy 🇮🇹 Elon!\nWe love you and @GiorgiaMeloni as well. ❤️,102
@elonmusk @MarioNawfal Extrem reicher Typ gibt extrem viel Aufmerksamkeit und extrem hohe Reichweite.,101
@elonmusk @MarioNawfal Would mega packs and a ton of solar kept giga Berlin running?,84
"@elonmusk @MarioNawfal It's like ESG, they don't actually care about the environment, they care much more about suppressing those who don't think the same way as they do.",170
"@elonmusk @MarioNawfal Germany wears their corruption like a badge, just look at their mobile phone costs. It’s almost as corrupt as Canada 😂.",142
@elonmusk @MarioNawfal 🤦‍♂️ https://t.co/mXmM81L3uE,51
@elonmusk @MarioNawfal 🤣,24
@elonmusk @MarioNawfal This is unreal!,38
@elonmusk @MarioNawfal Take care,32
@elonmusk @MarioNawfal Both can de true.😂,41
@elonmusk @MarioNawfal https://t.co/ApHZv0BbaE,46
@elonmusk @MarioNawfal This is unrealistic,42
@elonmusk @MarioNawfal Thats not so cool to do this kind of attacks,67
@elonmusk @MarioNawfal He got really angry tho,46
"@elonmusk @MarioNawfal Absolutely agree with you, Elon",54
@elonmusk @MarioNawfal Looks like it Elon,41
@elonmusk @MarioNawfal what token is this https://t.co/ped8QXGMtr,65
"@elonmusk @MarioNawfal In Wirklichkeit sind es Antikapitalisten, die jede Form von Wohlstand ablehnen und nur umverteilen wollen.",129
@elonmusk @MarioNawfal Absolutely,33
@elonmusk @MarioNawfal Yes\nYou replied Mario.,46
"@elonmusk @MarioNawfal Don't you believe this is an attack on what you're doing and saying, rather than Tesla? \n \nPeople are afraid of powerful people who tell the truth, which may contradict their worldview.",210
@elonmusk @MarioNawfal I agreed 💯,33
@elonmusk @MarioNawfal The height of stupidity 🤦🏼‍♀️,52
"@elonmusk @MarioNawfal The Elon musk has worked very hard, and that is at this point of development today.",106
@elonmusk @MarioNawfal Elon with hundred millions follower can be president of many country. 🐷💜,95
@elonmusk @MarioNawfal 🎯,24
@elonmusk @MarioNawfal It's exactly like that @goremy parody https://t.co/pIyKgxD5DT,84
@elonmusk @MarioNawfal louder,29
It's unfortunate when actions intended to promote environmental causes end up having counterproductive effects. Targeting electric vehicle production seems contradictory to environmental goals. It's essential to advocate for strategies that effectively reduce carbon emissions and promote sustainable practices in alignment with broader environmental objectives.,362
@elonmusk @MarioNawfal True,27
@elonmusk @MarioNawfal You are right,36
@elonmusk @MarioNawfal You are right.,37
@elonmusk @MarioNawfal You are right..,38
Targeting the production of electric vehicles instead of fossil fuel vehicles seems counterproductive to advancing environmental goals. It's important for activists and policymakers to focus on strategies that effectively reduce carbon emissions and promote sustainable transportation alternatives.,298
@elonmusk @MarioNawfal Rightly said,35
@elonmusk @MarioNawfal Rightly said.,36
@elonmusk @MarioNawfal Rightly said..,37
"@elonmusk @MarioNawfal 100% paid to be there, paid to disrupt progress.",71
@elonmusk @MarioNawfal I think it’s time for the Green Laser perimeter safe zone to be implemented.  @elonmusk throw the switch!,128
"@elonmusk @MarioNawfal Targeting Tesla, a leader in electric vehicles, for eco-terrorism is beyond misguided. It's ironic when considering other automotive manufacturers in Germany with a controversial past (ahem). Now that I think about it, it was probably them.",263
@elonmusk @rohanspatel @MarioNawfal In German we say „Hurensöhne“.,66
@elonmusk @MarioNawfal Jeez,27
@elonmusk @MarioNawfal Make it make sense…?🤯🤷‍♂️🤯,49
"@elonmusk @MarioNawfal Hope there are not more behind this case. Hostilities against Tesla in Media, In politics must be stopped in Germany...",142
@elonmusk @MarioNawfal V12 clan?,32
@elonmusk @MarioNawfal I would posit that even the environmental claim was a smokescreen.,89
@elonmusk @MarioNawfal 👍🏻,25
Volle Solidarität mit Tesla.,28
@elonmusk @MarioNawfal https://t.co/Qia9UDnFs9,46
@elonmusk @MarioNawfal Probably paid to be there and disrupt.,61
@elonmusk @MarioNawfal https://t.co/qrVQ9pPt4E,46
@elonmusk @MarioNawfal this.,28
@elonmusk @MarioNawfal $TSLA buy order submitted 👍,50
When we attended in 2021 we spent a good 4 hours touring the factory (yes we're geeks) and speaking with as many local people (albeit in poor German / English) as possible and they all loved Tesla. Maybe Tesla refused the negative people from attending (not sure how they would know) or maybe it's just a tiny minority that actually are negative about the factory... The fact remains that the trees planted around this factory were planted to be cut down... you can tell as they were all planted in neat rows and extremely close to one another which forces them to grow tall quickly which makes them ideal for making things from.\n\nIf this was a petrol chemical factory or a new BMW factory for petrol cars I'd understand it but it's a factory producing electric cars which can be charged from sun or wind power and are infinitely better for the environment than petrol and diesel cars 🤷‍♂️\n\nOh and Tesla are planting 3x the number of trees (albeit 60+ miles away)...,970
@elonmusk @MarioNawfal I'm truly sorry that something like this can happen here in Germany. 🇩🇪 \n\nTruly sad 😔,110
@elonmusk @MarioNawfal It is,28
"@elonmusk @MarioNawfal Elon es war etwas naiv von euch überhaupt in Deutschland zu investieren.\n\nDa sind Leute, die 15 Jahre für ein Flughafen benötigen, weil die alles verhindern wollen.\n\nDenkt daran, das Fabrik umzuziehen; Polen, Italien, Spanien...",255
"@elonmusk @MarioNawfal @elonmusk leave Grünheide and come to Poland! We are open and ready for you! You don´t have to go a long way, the workers/know-how is already there as a lot of Poles are working in Grünheide :) ... And we are able to protect our infrastructure :)",269
@elonmusk 💯,11
@elonmusk @MarioNawfal You could have built the Tesla factory in Poland 🤷‍♂️,76
@elonmusk @MarioNawfal Time to add more solar + storage to make the factory more resilient in the event of future grid outages?,127
"@elonmusk @MarioNawfal Here we are in agreement. This is the actual far left in action, which I oppose as a progressive, not the strawman/boogeyman left wing portrayed by U.S. right wingers.",190
@elonmusk @MarioNawfal You'd almost think their actual purpose is #degrowth and environmental claptrap is just a fig leaf,121
@elonmusk @MarioNawfal Yeap. It's the bumbest thing to do. They are destroying the things unnecessarily,103
@elonmusk @MarioNawfal Who have you upset this time Elon? 🙄,59
@elonmusk @MarioNawfal I think they are attacking elon.. personally.. just haters!!,83
@elonmusk @MarioNawfal So basically this https://t.co/1ceyVBPX40,64
"@elonmusk @MarioNawfal Plus potential jealousy to you, @elonmusk because of your billions.",90
@elonmusk @MarioNawfal Absolutely 👍,35
@elonmusk @synchro333 @MarioNawfal See in Bulgaria they will just help you recycle any cable and metals you let access to.  Pretty cool if you want to renovate. Free deconstruction and haul away services at night while everyone is asleep so no one is inconvenienced,265
@elonmusk @MarioNawfal TAKE TESLA PRIVATE,41
@elonmusk @MarioNawfal Absolutely disagreed,43
@elonmusk @MarioNawfal Or a new attempt to harm Elon financially …,66
@elonmusk @MarioNawfal Not a good look for ze Germans,53
@elonmusk @MarioNawfal https://t.co/mP4vVITgv8,46
"@elonmusk @MarioNawfal Hmmm…it might have nothing to do with protesting EV energy per se…but rather, trying to financially hurt shareholders… https://t.co/OUd3GSfMGc",165
@elonmusk @WholeMarsBlog @MarioNawfal Let the revolution begin 💪💪,65
@elonmusk @MarioNawfal Sounds like Berlin needs some Megapacks 😉,64
"@elonmusk @MarioNawfal É ridículo, ainda bem que já foram identificados, que sejam presos e obrigados a pagar os custos dos reparos https://t.co/9pYpHeQLNP",155
@elonmusk @MarioNawfal I bet car manufacturers like Audi or VW are behind it.,77
@elonmusk @MarioNawfal Human perceive of Value is so fragile.,61
@elonmusk @MarioNawfal They just Work for someone,49
@elonmusk @MarioNawfal Be Safe Everybody,40
@elonmusk @MarioNawfal Still don’t understand why Tesla had chosen Berlin for car factory.  It’s a city for strange artists.🤷‍♀️,128
@elonmusk @MarioNawfal An example of how horrible humanity can be. Why continue with such evils? Why can’t our race be better?\n\nI’m thankful for X &amp; for it introducing me to some wonderful people.,202
@elonmusk @MarioNawfal 🤯🫣,25
ist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm\nist extrem dumm ist extrem dumm,394
"@elonmusk @MarioNawfal I would ask the German politicians whether they are still interested in Tesla as an employer in the region. At the moment, they are only interested in the alleged right-wing extremism. But not at all for left-wing extremists.",248
"@elonmusk @MarioNawfal Is ""paid for by fossil fuel lobbies to disrupt the takeover"" an option?",94
Also benefits short sellers. Which I don't think is a coincidence as the terrorism continues on $TSLA,101
"@elonmusk @MarioNawfal Or maybe both. 😏 They could be happy they did not get grilled. This could have easily ended worse, playing with high voltage.",148
@elonmusk @MarioNawfal You're right 💯,37
"@elonmusk @MarioNawfal Congratulations, you’re phenomenal!",58
@elonmusk @MarioNawfal https://t.co/enhX3SI41W,46
@elonmusk @MarioNawfal True👍 and is this all I get!!! 🤩🤩 https://t.co/auaD3WUZOO,80
"@elonmusk @MarioNawfal They would never entrap people that need money, would they?",82
"Are the new tesla model y being produced with HW4 in Berlin ?\n Also is there any chance that model Y from Berlin gets same upgrades as the ones from Shangai this year ?\n\n HW4 would be very, very important to me. THX\n\nI have been waiting for HW4 for 1 year.\n@elonmusk \nNagy Imre\nHungary\n#hw4 #tesla",306
@elonmusk @MarioNawfal I know 😂,31
"@elonmusk @MarioNawfal Agreed 100%! These Eco""protester"" will help to get even more government and public support FOR TESLA! \n\nNobody likes these extremists!",159
"@elonmusk @MarioNawfal Who else didn't have ""eco-terrorists"" on their ""things to be afraid of in 2024"" bingo card?",114
"@elonmusk @MarioNawfal Elon what's your plan to overcome the lithium battery situation, in the long term?",105
"@elonmusk @MarioNawfal There is vandalism against Tesla owners happening on a daily basis. It’s horrible. In our neighborhood, a few weeks ago someone was going up to various Tesla cars and keying them over a week long period. It’s ridiculous this stuff happens.",262
@elonmusk @MarioNawfal This is what happens when Germans don't become engineers...,82
@elonmusk @MarioNawfal How I see eco activists these days https://t.co/bdPBFXMmPw,81
@elonmusk @MarioNawfal Tesla believers the fight ain’t over ! ⚔️,64
@elonmusk @MarioNawfal Eco-activists https://t.co/B5EWfjwVOT,60
@elonmusk @MarioNawfal More likely both.,40
@elonmusk @MarioNawfal No one wants to live in tiny trailers or homes after working hard all day.,97
@elonmusk @MarioNawfal Time to power factories with solar and wind and megapacks?,81
@elonmusk @MarioNawfal Optimus protection around the perimeter soon 🫡,69
@elonmusk @MarioNawfal Die sind so dumm und gewissenlos. Hauptsache alles zerstören. Was für eine Schande. Sorry,112
@elonmusk @MarioNawfal When did it stop being about the environment and start being about power?,96
"@elonmusk @MarioNawfal Deep green ideologies are against industrial society, not any particular technology.  Ted Kaczynski (Unibomber) and Derrick Jensen are prominent proponents of. https://t.co/Vils4xDrsR",206
@elonmusk @MarioNawfal Probably funded by German OEMs...,56
@elonmusk @MarioNawfal https://t.co/KXxbH1zZ47,46
@elonmusk @MarioNawfal I don’t believe the environment is their motivation.\n\nTime to add some megapacks?,106
"@elonmusk @MarioNawfal it's not about the environment, it is political",70
@elonmusk @WholeMarsBlog @MarioNawfal Get all electric as much as you want in there!,84
