tweet,sentiment,length
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,115
 =O you need to ask him something? Lmao I love him too,positive,54
 those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,85
 why are you sad?,negative,17
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,117
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,127
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,111
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,104
Humous and Dorito`s.... Oh yes,neutral,30
"missed all the awesome weather, because she was in a movie!",negative,59
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,135
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,67
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,136
" What`s sad is that I actually had to google that term. That sucks, tho.",negative,72
Hate fighting,negative,13
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,80
Car-warmed Sprite tastes like sore throat,negative,41
Just came 11th in cross country and beat dumbo,neutral,46
Candle wax is very enjoyable.,positive,29
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,122
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,124
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,101
 me too. I hate my computer so much..,negative,37
 fine! Going to do my big walk today 20 or so miles,positive,51
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,58
Mmmmmmmm... ? it in the morning,neutral,31
 me neither,neutral,11
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,104
Bugger. forgot I still have washing in my machine,negative,49
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,73
My back hurts...really bad,negative,26
" ah yes, I know that feeling",neutral,28
Night of the cookers with my dad,neutral,32
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,123
 Nope I am in Coquitlam,neutral,23
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,79
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,79
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,94
Few Bevvies 2day in twn..great on a day off!!,positive,45
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,97
 good morning,positive,13
 its the best show EVER!,positive,24
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,110
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,120
 I want to know when the auditions are Mander! Text or...reply please!,neutral,70
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,48
 I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,61
i need to get my computer fixed,neutral,31
really hopes her car`s illness is not terminal...,negative,49
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,105
 no sir...i woulda put honey...but i don`t have any,neutral,51
who watched X-men origins: wolverine? i totally loved it! haha,positive,62
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,127
 I`m sad that I missed you guys last night!,negative,43
Finally got a call for marriage counseling 3 days late....,neutral,58
 ok then,neutral,8
_420 why baby?,neutral,14
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,97
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,89
lost my tooth 2day whilst i was eating gum...oww,negative,48
happy 1 year! <3,positive,16
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,129
 *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,73
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,50
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,64
 i talk to you,neutral,14
im soo bored...im deffo missing my music channels,negative,49
 nite nite bday girl  have fun at concert,positive,41
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,132
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,91
should be sleeping.  lost my voice a couple day ago.,negative,52
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,60
 I`ve heard this fall. I`m waiting too!,neutral,39
 more nightmares?  *huggles*,neutral,28
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,118
going to bed its late and I have headache,negative,41
happy mother`s day to all moms out there...,positive,43
Grabbing coffee from  then making mom breakfast,neutral,47
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,82
 thanks. before the major chop.,neutral,31
" Haha I know, I cant handle the fame!  and thank you!",positive,53
just got up and updated my ipod,neutral,31
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,101
 We never miss ICarly - my son has a huge crush on Miranda,positive,58
Saw James carville in the store today. His head is really that bald,neutral,67
yellow for   ? http://blip.fm/~5z05g,neutral,36
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,91
Feeling smooth like chrome,positive,26
Ew traffic,negative,10
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,109
@_Ra_Ra_ your not alone...i need coffee too.,neutral,44
 Sounds like me,neutral,15
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,107
Walking to class. I hate not having a bike....especially mine.,negative,62
_nesmith,neutral,8
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,135
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,88
happy mother`s day to all the mothers in the world.,positive,51
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,123
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,87
The exception for a short dude: Larenz fineass Tate yum,neutral,55
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,98
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,135
 Yes i work 6 to 3...,neutral,21
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,101
Done at the spa   now meeting vic for some late lunch!,neutral,54
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,83
 Always have wanted to go to Oz,neutral,31
 Thx,neutral,4
 http://twitpic.com/4jaz5 - Cool... luv it,positive,42
  that`s why I need to be there...To represent the Blackberries,positive,63
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,134
 If only we could ever actually be allowed to stay here and do that,neutral,67
 Let me know how that turns out!!,neutral,33
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral,61
" yeah I was thinking about that ,ahaha",positive,38
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,124
I`m not sleeping at all until  accepts my appology,negative,50
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,72
" I live for pain, bring it on",neutral,29
"okay, i`m out for a while  back later!",neutral,38
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral,92
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,124
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,105
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,135
going to shower because i don`t want to smell at school tomorrow,neutral,64
 Sigh... you know I am...,neutral,25
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,111
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,137
just got home from work.... and is chugging down a big bottle of apple juice.,neutral,77
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,107
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,83
 it was only once for my big brother...and I`m done now,neutral,55
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,120
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,132
FTSK and Mercy Mercedes were amazing tonight.. as always,positive,56
  hope he is ok!,positive,16
can`t school just be done already? it hurts too much... seeing him every day,positive,76
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,137
 Hell Yeah!,neutral,11
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,78
 i know!!,neutral,9
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,52
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,131
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,72
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,117
HAPPY MOTHERS DAY.!,positive,19
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,120
  Thanks,positive,8
twittering after 2 days!,neutral,24
Getting ready for week  Its too nice today to be stuck inside working!,positive,70
I am tres depressed,negative,19
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,137
Happy Mothers Day people. i love my mom a lot still,positive,51
 I`m sorry to hear that.,negative,24
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,110
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,109
Is getting the hang of Twitter.,neutral,31
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,136
I want it BACK NOW!: http://bit.ly/PP1WZ,neutral,40
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,74
"bathing with two little angels, Keyla and Janice.",neutral,49
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,120
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,100
"Family is here,hanging with them",neutral,32
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,82
 what`s goin on hun?  I`m worried about you,negative,43
 Im not bannished... but I am at work till 6,negative,44
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,90
" red top tabloids, build em up, knock em down",neutral,45
tonight in party w/ my girls (minus vita),positive,41
  why not now you made me sad I thought you`d be jumping for joy,neutral,64
 Simple my a#@,neutral,14
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,137
" I saw the play of it here, it was amazing",positive,42
 _ i am glad to break my twitter virginity with you two.,positive,56
Dinner with the fam... I have missed them,negative,41
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral,103
Hell yeah Kellynn got a Twitter. Finally.,neutral,41
" I know   It was worth a shot, though!",positive,38
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,102
Ship. I`m stuck.,negative,16
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,39
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative,107
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral,130
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral,100
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,68
today is a busy day. exhausting!,negative,32
" I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral,77
 Sorry to hear ur flight got cancelled  that blows!!!,negative,53
ohh my tooth is hurts ohh  im sad it very hurts,negative,47
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,134
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,72
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral,114
sore throat. Planning the TET outing to Marwell though...good times,neutral,67
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,134
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,88
 There!,neutral,7
?sucks!?..,negative,10
 whens the sway sway winner announced?,neutral,38
 K will check it out...,neutral,23
" doing pretty well, up and wide awake",positive,37
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,129
I Miss Daddy and Mommy,negative,22
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,134
I just realized that I can`t forward text msgs with my iPhone.,neutral,62
"My frist post... Off to find a new car for my parents, exciting!",positive,64
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,137
seriously bored without anyone to talk to... but not tired enough for sleep,negative,75
 I am lost. Please help me find a good home.,negative,44
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral,136
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,92
 LMAO... Smh!  that one threw me off.,neutral,37
 oh nice going!,positive,15
Is getting ready for work... Working all weekend,neutral,48
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,79
 i agree with you!,positive,18
 I only do computers. Am hopeless at everything else,negative,52
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive,75
_2nd aww thanks!,positive,16
 Sorry RB is on PS3 for me,negative,26
I saw amazing heeels. But they were too big,neutral,43
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,91
dang last url went down  ? http://blip.fm/~7aigm,negative,48
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative,117
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,78
 my boss. She`s moving to NYC,neutral,29
this is sooo crazy i have fever..,negative,33
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative,129
I think i need some new friends,neutral,31
 Looking forward to your gig in Ireland!!!  See ya there!,neutral,57
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive,61
aww  you loooove me,positive,19
"is hungry, twitter.  i want food. </3",neutral,37
awesome lucky you,positive,17
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral,91
" haha im jewish, i love that one",positive,32
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral,114
 l`m on 3 days too matt. No fun this weekend.,negative,45
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral,120
 I feel your pain. Mine is the same way,negative,39
comes home in two days,neutral,22
 Sadly no. It didn`t come with one...,negative,37
Cant wait to see my boy tomorrow,positive,32
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral,101
 aww I miss driving down elmwood,negative,32
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,61
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive,119
_30439 I really wish I could go!,positive,32
" yeah real hard, but I know you`ll get by with it... smile",neutral,58
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative,96
  This has made my night!!  Way too funny!!,positive,43
Woo CAVS.  Happy Mother`s Day!,positive,30
 I make that same face when I get home and your mom is watching soaps.,neutral,70
I have to go to work now.,neutral,25
 I can`t believe you went and got boba without me.,neutral,50
"  And to you too, how are you today?",neutral,36
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive,99
19 days and counting,neutral,20
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,111
BRAINFREEZE,neutral,11
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral,136
"My sunburn is peeling,",negative,22
perky purple nail polish isn`t as perky when its chipped,neutral,56
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral,131
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,130
I hate the dentist,negative,18
" nothing aimed at you, just joining in...sorry",negative,46
I`m taking a twitter break. Cell is dying,negative,41
 qood morninq,neutral,13
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral,103
needs more followers,neutral,20
I wish I could get my nails done  stupid job,negative,44
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral,138
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral,98
 Have a good one,positive,16
" yep infact she is popular, miss india 99, talented film actress .... and lot more",positive,82
Dosen`t Want To Go To Work Tomorrow,negative,35
Daniel has won DSDS. His voice is great.,positive,40
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral,134
was hoping to go to Red Lobster this weekend,neutral,44
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive,115
I sure do hope it becomes 4:20 this afternoon ...,positive,49
 it means that you are now FAMOUS. Congrats!,positive,44
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative,86
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive,130
tamlyn wishes she was as cool as my sock draw,positive,45
 so no rice or crusty bread with the chili .... aawww,neutral,53
"  We are of like minds this evening , my dear!",neutral,46
come and save me from my packing please?!,neutral,41
"Yes, I love tea. If that makes me typically English then so be it",positive,65
 a mouth for sure,positive,17
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral,135
 pancakes!! with lemon and sugar thanks!,positive,40
" Si, no bueno  I guess I just don`t entertain him :/",negative,52
I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative,73
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative,101
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive,94
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative,51
Goodmorning,positive,11
Took a shift tomorrow.    I don`t really feel like working right now.,negative,69
" I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",positive,93
Saw a black snake in the garden.  Went back for a picture and it was gone,neutral,73
